"Location","Firearms Death Rate per 100,000"
"Alabama","25.6"
"Alaska","23.5"
"Arizona","18.5"
"Arkansas","21.9"
"California","8"
"Colorado","16.6"
"Connecticut","6.2"
"Delaware","12"
"District of Columbia","30.6"
"Florida","13.7"
"Georgia","18.6"
"Hawaii","4.9"
"Idaho","17.9"
"Illinois","13.5"
"Indiana","18.3"
"Iowa","10.5"
"Kansas","16.3"
"Kentucky","18.4"
"Louisiana","28.3"
"Maine","14"
"Maryland","12.3"
"Massachusetts","3.7"
"Michigan","13.9"
"Minnesota","8.9"
"Mississippi","29.4"
"Missouri","21.4"
"Montana","21.5"
"Nebraska","10.6"
"Nevada","18.4"
"New Hampshire","9.6"
"New Jersey","4.6"
"New Mexico","25.3"
"New York","4.7"
"North Carolina","16.4"
"North Dakota","12.8"
"Ohio","15"
"Oklahoma","19.9"
"Oregon","14.2"
"Pennsylvania","13.6"
"Rhode Island","4.8"
"South Carolina","19.1"
"South Dakota","12.3"
"Tennessee","22"
"Texas","14.9"
"Utah","14.8"
"Vermont","12"
"Virginia","13.8"
"Washington","13"
"West Virginia","16.8"
"Wisconsin","12.7"
"Wyoming","21.5"


