"Location","Firearms Death Rate per 100,000"
"Alabama","23.6"
"Alaska","23.5"
"Arizona","16.7"
"Arkansas","22.6"
"California","8.5"
"Colorado","15.4"
"Connecticut","6"
"Delaware","14.4"
"District of Columbia","21.9"
"Florida","13.7"
"Georgia","17.7"
"Hawaii","3.4"
"Idaho","17.6"
"Illinois","14.1"
"Indiana","17.3"
"Iowa","11.2"
"Kansas","16.9"
"Kentucky","20.1"
"Louisiana","26.3"
"Maine","10.4"
"Maryland","13.5"
"Massachusetts","3.7"
"Michigan","14.6"
"Minnesota","8.9"
"Mississippi","28.6"
"Missouri","23.9"
"Montana","20.9"
"Nebraska","10.1"
"Nevada","17"
"New Hampshire","8.9"
"New Jersey","5"
"New Mexico","22.7"
"New York","5.3"
"North Carolina","16"
"North Dakota","13.8"
"Ohio","15.2"
"Oklahoma","20.7"
"Oregon","13"
"Pennsylvania","13.6"
"Rhode Island","5.1"
"South Carolina","22"
"South Dakota","13.6"
"Tennessee","21.3"
"Texas","14.2"
"Utah","13.6"
"Vermont","11.6"
"Virginia","13.4"
"Washington","10.9"
"West Virginia","18.1"
"Wisconsin","12.2"
"Wyoming","25.9"


