"Location","Firearms Death Rate per 100,000"
"Alabama","26.4"
"Alaska","25.2"
"Arizona","18.3"
"Arkansas","23.3"
"California","9"
"Colorado","17.8"
"Connecticut","6.7"
"Delaware","16.6"
"District of Columbia","24.4"
"Florida","14.1"
"Georgia","20.3"
"Hawaii","4.8"
"Idaho","16.3"
"Illinois","16.1"
"Indiana","18.4"
"Iowa","11.2"
"Kansas","17.3"
"Kentucky","21.1"
"Louisiana","29.1"
"Maine","12.6"
"Maryland","15.2"
"Massachusetts","3.4"
"Michigan","15.4"
"Minnesota","10"
"Mississippi","33.9"
"Missouri","23.2"
"Montana","25.1"
"Nebraska","10.3"
"Nevada","19.8"
"New Hampshire","8.3"
"New Jersey","5.2"
"New Mexico","27.8"
"New York","5.4"
"North Carolina","17.3"
"North Dakota","16.8"
"Ohio","16.5"
"Oklahoma","21.2"
"Oregon","14.9"
"Pennsylvania","14.8"
"Rhode Island","5.6"
"South Carolina","22.4"
"South Dakota","14.3"
"Tennessee","22.8"
"Texas","15.6"
"Utah","13.9"
"Vermont","11.9"
"Virginia","14.3"
"Washington","11.2"
"West Virginia","17.3"
"Wisconsin","13.5"
"Wyoming","26.1"


